company_name,homepage_url,source,tranco_rank,saas_verified,signals_matched,signals_detail
github.com,https://github.com/,tranco,28,y,4,cta|b2b|pricing|login
fastly.net,https://www.fastly.com/,tranco,35,y,3,cta|b2b|pricing
office.com,https://www.office.com/,tranco,22,y,3,b2b|pricing|login
chatgpt.com,https://chatgpt.com/,tranco,70,y,3,b2b|fp|pricing
vimeo.com,https://vimeo.com/,tranco,71,y,3,cta|b2b|pricing
cloud.microsoft,https://m365.cloud.microsoft/,tranco,57,y,3,b2b|pricing|login
zoom.us,https://www.zoom.com/,tranco,76,y,4,cta|b2b|pricing|login
wordpress.com,https://wordpress.com/,tranco,98,y,4,cta|b2b|fp|pricing
bit.ly,https://bitly.com/,tranco,102,y,4,cta|b2b|fp|pricing
b-cdn.net,https://bunny.net/,tranco,115,y,5,cta|b2b|fp|pricing|login
one.one,https://www.one.com/en-gb/,tranco,160,y,4,cta|b2b|fp|login
oxylabs.io,https://oxylabs.io/,tranco,220,y,3,cta|b2b|pricing
vungle.com,https://liftoff.ai/,tranco,194,y,3,b2b|fp|login
ubuntu.com,https://ubuntu.com/,tranco,235,y,3,cta|b2b|pricing
cpanel.net,https://www.cpanel.net/,tranco,208,y,3,cta|b2b|pricing
shopify.com,https://www.shopify.com/,tranco,161,y,3,cta|b2b|pricing
forter.com,https://www.forter.com/,tranco,260,y,4,cta|b2b|fp|pricing
salesforce.com,https://www.salesforce.com/eu/?ir=1&bc=DB,tranco,274,y,4,cta|b2b|pricing|login
hubspot.com,https://www.hubspot.com/,tranco,246,y,5,cta|b2b|fp|pricing|login
dnsmadeeasy.com,https://dnsmadeeasy.com/,tranco,291,y,3,cta|b2b|pricing
linktr.ee,https://linktr.ee/,tranco,254,y,5,cta|b2b|fp|pricing|login
launchdarkly.com,https://launchdarkly.com/,tranco,320,y,4,cta|b2b|fp|pricing
hcaptcha.com,https://www.hcaptcha.com/,tranco,310,y,3,cta|b2b|pricing
trueconf.net,https://trueconf.com/,tranco,324,y,4,cta|b2b|pricing|login
checkpoint.com,https://www.checkpoint.com/,tranco,338,y,3,cta|b2b|fp
slack.com,https://slack.com/,tranco,331,y,3,cta|b2b|pricing
amplitude.com,https://amplitude.com/,tranco,325,y,4,cta|b2b|fp|pricing
appsflyer.com,https://www.appsflyer.com/,tranco,305,y,3,cta|b2b|pricing
calendly.com,https://calendly.com/,tranco,384,y,5,cta|b2b|fp|pricing|login
gitlab.com,https://about.gitlab.com/,tranco,393,y,3,cta|b2b|pricing
plesk.com,https://www.plesk.com/,tranco,380,y,5,cta|b2b|fp|pricing|login
zendesk.com,https://www.zendesk.com/,tranco,382,y,4,cta|b2b|pricing|login
aliyun.com,https://www.alibabacloud.com/en?_p_lc=1&f-8DC992C756BA=,tranco,353,y,4,cta|b2b|pricing|login
wp.com,https://wordpress.com/,tranco,434,y,4,cta|b2b|fp|pricing
slideshare.net,https://www.slideshare.net/,tranco,502,y,4,cta|b2b|fp|login
behance.net,https://www.behance.net/,tranco,495,y,3,cta|b2b|login
docker.com,https://www.docker.com/,tranco,510,y,4,cta|b2b|pricing|login
dynatrace.com,https://www.dynatrace.com/,tranco,526,y,4,cta|b2b|fp|pricing
visualstudio.com,https://visualstudio.microsoft.com/,tranco,533,y,3,cta|b2b|pricing
trendmicro.com,https://www.trendmicro.com/en_gb/business.html,tranco,534,y,3,cta|b2b|login
hotjar.com,https://contentsquare.com/hotjar/?utm_campaign=exp__hj_hp_redirection,tranco,564,y,5,cta|b2b|fp|pricing|login
okta.com,https://www.okta.com/,tranco,547,y,4,cta|b2b|pricing|login
cookielaw.org,https://www.onetrust.com/products/cookie-consent/,tranco,580,y,3,b2b|pricing|login
wix.com,https://www.wix.com/,tranco,554,y,3,cta|b2b|login
surveymonkey.com,https://www.surveymonkey.com/,tranco,571,y,5,cta|b2b|fp|pricing|login
onetrust.com,https://www.onetrust.com/,tranco,611,y,3,b2b|pricing|login
braze.com,https://www.braze.com/,tranco,620,y,3,cta|b2b|pricing
branch.io,https://www.branch.io/,tranco,617,y,5,cta|b2b|fp|pricing|login
independent.co.uk,https://www.independent.co.uk/,tranco,637,y,3,b2b|fp|login
jotform.com,https://www.jotform.com/,tranco,604,y,4,b2b|fp|pricing|login
intercom.io,https://www.intercom.com/,tranco,652,y,4,cta|b2b|fp|pricing
stackadapt.com,https://www.stackadapt.com/,tranco,641,y,4,cta|b2b|fp|login
klaviyo.com,https://www.klaviyo.com/uk/,tranco,597,y,4,cta|b2b|fp|pricing
newrelic.com,https://newrelic.com/,tranco,718,y,3,b2b|fp|pricing
dreamhost.com,https://www.dreamhost.com/,tranco,673,y,4,cta|b2b|pricing|login
bugsnag.com,https://www.bugsnag.com/,tranco,732,y,3,cta|b2b|pricing
cursor.sh,https://cursor.com/,tranco,703,y,4,cta|b2b|pricing|login
uber.com,https://www.uber.com/pt/en/,tranco,735,y,3,b2b|fp|login
mailchimp.com,https://mailchimp.com/pt-br/,tranco,670,y,3,cta|fp|pricing
zoom.com,https://www.zoom.com/,tranco,769,y,4,cta|b2b|pricing|login
anthropic.com,https://www.anthropic.com/,tranco,717,y,3,b2b|fp|pricing
liftoff.io,https://liftoff.ai/,tranco,800,y,3,b2b|fp|login
freepik.com,https://www.magnific.com/,tranco,819,y,3,cta|b2b|pricing
mixpanel.com,https://mixpanel.com/home/,tranco,810,y,3,cta|b2b|fp
cloudinary.com,https://cloudinary.com/,tranco,828,y,3,b2b|fp|pricing
no-ip.com,https://www.noip.com/,tranco,809,y,4,b2b|fp|pricing|login
figma.com,https://www.figma.com/,tranco,840,y,4,b2b|fp|pricing|login
vercel.app,https://vercel.com/,tranco,894,y,4,cta|b2b|pricing|login
typeform.com,https://www.typeform.com/,tranco,923,y,5,cta|b2b|fp|pricing|login
readthedocs.io,https://about.readthedocs.com/?ref=app.readthedocs.org,tranco,927,y,3,cta|b2b|pricing
jimdo.com,https://www.jimdo.com/,tranco,903,y,3,cta|pricing|login
agora.io,https://www.agora.io/en/,tranco,928,y,3,b2b|fp|pricing
docker.io,https://www.docker.com/,tranco,936,y,4,cta|b2b|pricing|login
squarespace.com,https://www.squarespace.com/,tranco,621,y,4,cta|b2b|pricing|login
mailchi.mp,https://mailchimp.com/pt-br/,tranco,924,y,3,cta|fp|pricing
rackspace.com,https://www.rackspace.com/,tranco,991,y,3,b2b|fp|login
onesignal.com,https://onesignal.com/,tranco,990,y,4,cta|b2b|fp|pricing
clever.com,https://www.clever.com/,tranco,988,y,3,b2b|pricing|login
segment.io,https://www.twilio.com/en-us/segment,tranco,955,y,3,cta|b2b|fp
odoo.com,https://www.odoo.com/,tranco,1009,y,3,cta|b2b|pricing
ipinfo.io,https://ipinfo.io/,tranco,1041,y,4,b2b|fp|pricing|login
coursera.org,https://www.coursera.org/,tranco,1045,y,3,cta|b2b|login
ilovepdf.com,https://www.ilovepdf.com/,tranco,1063,y,3,b2b|pricing|login
notion.so,https://www.notion.com/,tranco,1049,y,5,cta|b2b|fp|pricing|login
hostinger.com,https://www.hostinger.com/,tranco,1098,y,4,cta|b2b|fp|pricing
pendo.io,https://www.pendo.io/,tranco,1101,y,4,cta|b2b|fp|pricing
wise.com,https://wise.com/,tranco,1086,y,4,b2b|fp|pricing|login
lge.com,https://www.lg.com/pt/,tranco,1083,y,3,b2b|fp|login
split.io,https://www.split.io/,tranco,1129,y,3,cta|b2b|login
netlify.app,https://www.netlify.com/,tranco,1134,y,5,cta|b2b|fp|pricing|login
gofundme.com,https://www.gofundme.com/,tranco,1110,y,3,b2b|pricing|login
usercentrics.eu,https://usercentrics.com/,tranco,1097,y,3,b2b|fp|pricing
trello.com,https://trello.com/,tranco,1217,y,3,b2b|pricing|login
medallia.com,https://www.medallia.com/,tranco,1203,y,3,cta|b2b|pricing
wayground.com,https://wayground.com/,tranco,1295,y,4,cta|b2b|fp|login
redtube.com,https://www.redtube.com/,tranco,1300,y,3,b2b|fp|login
attn.tv,https://www.attentive.com/?utm_source=attn.tv,tranco,1253,y,3,cta|fp|pricing
sectigo.com,https://www.sectigo.com/,tranco,1187,y,3,cta|b2b|fp
singular.net,https://www.singular.net/,tranco,1392,y,3,cta|b2b|fp
huggingface.co,https://huggingface.co/,tranco,1492,y,4,b2b|fp|pricing|login
eepurl.com,https://mailchimp.com/pt-br/,tranco,1508,y,3,cta|fp|pricing
oreilly.com,https://www.oreilly.com/,tranco,1611,y,4,cta|b2b|pricing|login
trustarc.com,https://trustarc.com/,tranco,1809,y,3,cta|b2b|login
livechatinc.com,https://www.livechat.com/,tranco,1848,y,3,cta|b2b|pricing
magnific.com,https://www.magnific.com/,tranco,1866,y,3,cta|b2b|pricing
salesforceliveagent.com,https://www.salesforce.com/eu/?ir=1&bc=DB,tranco,1834,y,4,cta|b2b|pricing|login
twilio.com,https://www.twilio.com/en-us,tranco,1817,y,4,cta|b2b|fp|pricing
intercom.com,https://www.intercom.com/,tranco,1885,y,4,cta|b2b|fp|pricing
dnsimple.com,https://dnsimple.com/,tranco,1876,y,3,b2b|pricing|login
investing.com,https://www.investing.com/,tranco,1957,y,3,cta|b2b|fp
mapbox.com,https://www.mapbox.com/,tranco,1952,y,4,b2b|fp|pricing|login
adroll.com,https://www.adroll.com/,tranco,1981,y,4,cta|b2b|pricing|login
appier.net,https://www.appier.com/en/,tranco,2044,y,3,cta|b2b|fp
moengage.com,https://www.moengage.com/,tranco,2035,y,3,b2b|fp|pricing
truste.com,https://trustarc.com/,tranco,2049,y,3,cta|b2b|login
supabase.co,https://supabase.com/,tranco,2077,y,3,cta|b2b|pricing
iubenda.com,https://www.iubenda.com/en/,tranco,2040,y,5,cta|b2b|fp|pricing|login
evernote.com,https://evernote.com/,tranco,2065,y,3,cta|b2b|login
segment.com,https://www.twilio.com/en-us/segment,tranco,2099,y,3,cta|b2b|fp
one.com,https://www.one.com/en-gb/,tranco,2111,y,4,cta|b2b|fp|login
squareup.com,https://squareup.com/us/en,tranco,2152,y,3,cta|b2b|pricing
proofpoint.com,https://www.proofpoint.com/us,tranco,2187,y,3,cta|b2b|login
ahrefs.com,https://ahrefs.com/,tranco,2183,y,4,cta|b2b|fp|pricing
cpanel.com,https://www.cpanel.net/,tranco,2197,y,3,cta|b2b|pricing
semrush.com,https://www.semrush.com/,tranco,2211,y,5,cta|b2b|fp|pricing|login
sap.com,https://www.sap.com/index.html,tranco,2226,y,3,cta|b2b|login
revenuecat.com,https://www.revenuecat.com/,tranco,2204,y,3,cta|b2b|pricing
datto.com,https://www.datto.com/,tranco,2256,y,3,cta|b2b|pricing
hover.com,https://www.hover.com/,tranco,2238,y,3,b2b|pricing|login
quantummetric.com,https://www.quantummetric.com/,tranco,2264,y,3,cta|b2b|pricing
miro.com,https://miro.com/,tranco,2280,y,3,b2b|pricing|login
ninjarmm.com,https://www.ninjaone.com/,tranco,2293,y,4,cta|b2b|pricing|login
useinsider.com,https://insiderone.com/,tranco,2319,y,4,cta|b2b|fp|login
userway.org,https://userway.org/,tranco,2309,y,4,cta|b2b|fp|pricing
fliphtml5.com,https://fliphtml5.com/,tranco,2317,y,3,cta|fp|login
microsoft365.com,https://m365.cloud.microsoft/?from=OfficeKey&origindomain=microsoft365,tranco,2313,y,3,b2b|pricing|login
asana.com,https://asana.com/,tranco,2298,y,3,cta|b2b|pricing
gameanalytics.com,https://www.gameanalytics.com/,tranco,2337,y,3,b2b|fp|pricing
chartbeat.net,https://chartbeat.com/,tranco,2231,y,4,cta|b2b|fp|login
onrender.com,https://render.com/,tranco,2383,y,3,cta|b2b|pricing
lg.com,https://www.lg.com/pt/,tranco,2363,y,3,b2b|fp|login
customer.io,https://customer.io/,tranco,2362,y,4,cta|b2b|fp|pricing
crazyegg.com,https://www.crazyegg.com/,tranco,2384,y,5,cta|b2b|fp|pricing|login
notion.site,https://www.notion.com/,tranco,2376,y,5,cta|b2b|fp|pricing|login
grafana.com,https://grafana.com/,tranco,2407,y,3,b2b|pricing|login
elastic.co,https://www.elastic.co/,tranco,2396,y,4,cta|b2b|pricing|login
ssl.com,https://www.ssl.com/,tranco,2422,y,4,b2b|fp|pricing|login
bunny.net,https://bunny.net/,tranco,2477,y,5,cta|b2b|fp|pricing|login
zend.com,https://www.zend.com/,tranco,2463,y,4,cta|b2b|pricing|login
splashtop.com,https://www.splashtop.com/,tranco,2455,y,5,cta|b2b|fp|pricing|login
clickup.com,https://clickup.com/,tranco,2481,y,4,cta|b2b|pricing|login
churnzero.net,https://churnzero.com/,tranco,2450,y,3,cta|fp|login
visualwebsiteoptimizer.com,https://vwo.com/,tranco,2495,y,4,cta|b2b|fp|pricing
su89-cdn.net,https://su89-cdn.net/,tranco,2515,y,4,b2b|fp|pricing|login
splunkcloud.com,https://www.splunk.com/,tranco,2533,y,4,cta|b2b|pricing|login
lastpass.com,https://www.lastpass.com/,tranco,2564,y,3,cta|b2b|pricing
screenconnect.com,https://www.screenconnect.com/,tranco,2554,y,3,cta|b2b|pricing
gotowebinar.com,https://www.goto.com/webinar,tranco,2587,y,3,cta|b2b|fp
moodle.com,https://moodle.com/,tranco,2593,y,4,cta|b2b|fp|login
kbz0pwvxmv.com,https://kbz0pwvxmv.com/,tranco,2592,y,4,b2b|fp|pricing|login
verkada.com,https://www.verkada.com/,tranco,2586,y,3,b2b|fp|pricing
cutt.ly,https://cutt.ly/,tranco,2620,y,4,cta|b2b|pricing|login
urbanairship.com,https://www.airship.com/,tranco,2505,y,3,cta|b2b|pricing
prezi.com,https://prezi.com/,tranco,2638,y,4,cta|b2b|pricing|login
envato.com,https://elements.envato.com/,tranco,2657,y,4,b2b|fp|pricing|login
matomo.org,https://matomo.org/,tranco,2683,y,5,cta|b2b|fp|pricing|login
brevo.com,https://www.brevo.com/,tranco,2693,y,4,cta|b2b|fp|pricing
ringcentral.com,https://www.ringcentral.com/,tranco,2696,y,3,b2b|fp|pricing
evergage.com,https://www.salesforce.com/marketing/personalization/?bc=DB,tranco,2659,y,4,cta|b2b|pricing|login
surfshark.com,https://surfshark.com/,tranco,2642,y,3,cta|b2b|pricing
comodoca.com,https://www.sectigo.com/?utm_source=redirect&utm_medium=tier2&utm_campaign=comodoca,tranco,2698,y,4,cta|b2b|fp|login
podbean.com,https://www.podbean.com/,tranco,2719,y,5,cta|b2b|fp|pricing|login
crowdstrike.com,https://www.crowdstrike.com/en-us/,tranco,2720,y,4,cta|b2b|pricing|login
parallels.com,https://www.parallels.com/,tranco,2715,y,3,cta|b2b|fp
hubspot.net,https://www.hubspot.com/,tranco,2714,y,5,cta|b2b|fp|pricing|login
1password.com,https://1password.com/,tranco,2753,y,3,cta|b2b|pricing
rudderstack.com,https://www.rudderstack.com/,tranco,2705,y,4,cta|b2b|fp|pricing
jampp.com,https://www.jampp.com/,tranco,2734,y,3,cta|b2b|fp
about.me,https://about.me/,tranco,2744,y,3,b2b|pricing|login
paramountplus.com,https://www.paramountplus.com/intl/,tranco,2733,y,3,cta|b2b|login
bigcommerce.com,https://www.bigcommerce.com/,tranco,2718,y,4,cta|b2b|fp|pricing
goguardian.com,https://www.goguardian.com/,tranco,2786,y,4,cta|b2b|fp|pricing
cookieyes.com,https://www.cookieyes.com/,tranco,2801,y,4,cta|b2b|pricing|login
incognia.com,https://www.incognia.com/,tranco,2818,y,3,b2b|fp|pricing
webflow.io,https://webflow.com/,tranco,2804,y,4,cta|b2b|pricing|login
gumroad.com,https://gumroad.com/,tranco,2842,y,3,b2b|pricing|login
salesforce-scrt.com,https://www.salesforce.com/eu/?ir=1&bc=DB,tranco,2828,y,4,cta|b2b|pricing|login
x-cdn-static.com,https://x-cdn-static.com/,tranco,2836,y,4,b2b|fp|pricing|login
webflow.com,https://webflow.com/,tranco,2868,y,4,cta|b2b|pricing|login
c6gj-static.net,https://c6gj-static.net/,tranco,2890,y,4,b2b|fp|pricing|login
n-able.com,https://www.n-able.com/,tranco,2898,y,3,cta|b2b|login
inmotionhosting.com,https://www.inmotionhosting.com/,tranco,2849,y,3,b2b|fp|pricing
moz.com,https://moz.com/,tranco,2869,y,5,cta|b2b|fp|pricing|login
airtable.com,https://www.airtable.com/,tranco,2908,y,3,b2b|pricing|login
redis.io,https://redis.io/,tranco,2948,y,3,cta|b2b|pricing
joinmassive.com,https://www.joinmassive.com/,tranco,2937,y,3,cta|b2b|pricing
auvik.com,https://www.auvik.com/,tranco,2950,y,3,cta|b2b|pricing
square.site,https://squareup.com/us/en,tranco,2957,y,3,cta|b2b|pricing
toasttab.com,https://pos.toasttab.com/,tranco,2954,y,3,cta|b2b|pricing
zapier.com,https://zapier.com/,tranco,2973,y,4,b2b|fp|pricing|login
mystrikingly.com,https://www.strikingly.com/,tranco,2915,y,3,b2b|fp|pricing
imgix.net,https://www.imgix.com/,tranco,2889,y,5,cta|b2b|fp|pricing|login
yg5sjx5kzy.com,https://yg5sjx5kzy.com/,tranco,2987,y,4,b2b|fp|pricing|login
elementor.com,https://elementor.com/,tranco,2984,y,3,b2b|pricing|login
proton.me,https://proton.me/,tranco,2998,y,3,b2b|pricing|login
intercomcdn.com,https://www.intercom.com/,tranco,3002,y,4,cta|b2b|fp|pricing
powerapps.com,https://www.microsoft.com/pt-pt/power-platform/products/power-apps/,tranco,2974,y,3,cta|b2b|pricing
loom.com,https://www.loom.com/,tranco,3088,y,3,b2b|fp|pricing
crunchbase.com,https://www.crunchbase.com/,tranco,3079,y,3,cta|b2b|login
wistia.com,https://wistia.com/,tranco,3119,y,3,b2b|fp|pricing
malwarebytes.com,https://www.malwarebytes.com/,tranco,3120,y,3,b2b|pricing|login
hootsuite.com,https://www.hootsuite.com/,tranco,3128,y,3,cta|b2b|login
ex.co,https://ex.co/,tranco,3121,y,3,cta|b2b|fp
hotmart.com,https://hotmart.com/en,tranco,3125,y,3,b2b|fp|pricing
guard.io,https://guard.io/,tranco,3149,y,3,cta|b2b|login
ispot.tv,https://www.ispot.tv/,tranco,3116,y,3,cta|b2b|pricing
egnyte.com,https://www.egnyte.com/,tranco,3123,y,4,cta|b2b|pricing|login
duosecurity.com,https://duo.com/,tranco,3143,y,3,cta|b2b|pricing
foursquare.com,https://foursquare.com/,tranco,3171,y,4,cta|fp|pricing|login
walkme.com,https://www.walkme.com/,tranco,3167,y,3,cta|b2b|pricing
glance.net,https://www.glance.cx/,tranco,3196,y,3,cta|b2b|fp
voximplant.com,https://voximplant.com/,tranco,3189,y,3,b2b|fp|pricing
freshdesk.com,https://www.freshworks.com/freshdesk/,tranco,3208,y,3,cta|b2b|pricing
ko-fi.com,https://ko-fi.com/,tranco,3233,y,3,cta|pricing|login
zscaler.com,https://www.zscaler.com/,tranco,3211,y,3,cta|b2b|pricing
consumerreports.org,https://www.consumerreports.org/,tranco,3223,y,3,b2b|fp|pricing
threatlocker.com,https://www.threatlocker.com/,tranco,3259,y,3,cta|b2b|fp
docusign.com,https://www.docusign.com/,tranco,3246,y,3,cta|b2b|pricing
ning.com,https://www.ning.com/,tranco,3199,y,3,cta|b2b|pricing
gitbook.io,https://www.gitbook.com/,tranco,3293,y,4,cta|b2b|fp|pricing
linklist.bio,https://linklist.bio/,tranco,3264,y,3,fp|pricing|login
iterable.com,https://iterable.com/,tranco,3314,y,3,cta|b2b|fp
chartbeat.com,https://chartbeat.com/,tranco,3267,y,4,cta|b2b|fp|login
ipapi.co,https://ipapi.co/,tranco,3288,y,3,cta|b2b|pricing
houzz.com,https://www.houzz.com/,tranco,3255,y,4,cta|b2b|fp|login
postman.com,https://www.postman.com/,tranco,3355,y,4,b2b|fp|pricing|login
termsfeed.com,https://www.termsfeed.com/,tranco,3363,y,3,b2b|pricing|login
feedly.com,https://feedly.com/,tranco,3382,y,3,cta|b2b|pricing
riskified.com,https://www.riskified.com/,tranco,3379,y,3,b2b|fp|login
braze.eu,https://www.braze.com/,tranco,3387,y,3,cta|b2b|pricing
a2hosting.com,https://hosting.com/,tranco,3386,y,3,cta|b2b|login
bitly.com,https://bitly.com/,tranco,3419,y,4,cta|b2b|fp|pricing
ouraring.com,https://ouraring.com/,tranco,3471,y,3,cta|b2b|fp
pushwoosh.com,https://www.pushwoosh.com/,tranco,3455,y,5,cta|b2b|fp|pricing|login
smallpdf.com,https://smallpdf.com/,tranco,3499,y,3,cta|b2b|pricing
bitrix24.com,https://www.bitrix24.com/,tranco,3506,y,3,cta|b2b|fp
dashlane.com,https://www.dashlane.com/,tranco,3470,y,3,cta|b2b|pricing
mux.com,https://www.mux.com/,tranco,3557,y,5,cta|b2b|fp|pricing|login
parsely.com,https://www.parse.ly/,tranco,3558,y,4,cta|b2b|fp|pricing
buzzsprout.com,https://www.buzzsprout.com/,tranco,3598,y,3,b2b|pricing|login
claude.com,https://claude.com/,tranco,3585,y,3,b2b|pricing|login
xero.com,https://www.xero.com/,tranco,3563,y,3,cta|b2b|pricing
cvent.com,https://www.cvent.com/,tranco,3515,y,3,cta|b2b|fp
ondemand.com,https://www.sap.com/products/technology-platform.html,tranco,3636,y,3,cta|b2b|login
wasabisys.com,https://wasabi.com/,tranco,3650,y,3,cta|b2b|pricing
emarsys.net,https://emarsys.com/,tranco,3642,y,3,cta|b2b|login
vercel.com,https://vercel.com/,tranco,3678,y,4,cta|b2b|pricing|login
lnk.to,https://www.linkfire.com/,tranco,3709,y,4,cta|b2b|fp|pricing
osano.com,https://www.osano.com/,tranco,3734,y,3,cta|b2b|fp
celtra.com,https://celtra.com/,tranco,3733,y,5,cta|b2b|fp|pricing|login
bitwarden.com,https://bitwarden.com/,tranco,3759,y,4,cta|b2b|fp|pricing
grafana.net,https://grafana.com/,tranco,3793,y,3,b2b|pricing|login
piano.io,https://www.piano.io/,tranco,3811,y,3,cta|b2b|login
plausible.io,https://plausible.io/,tranco,3825,y,3,cta|b2b|login
xe.com,https://www.xe.com/,tranco,3742,y,3,cta|b2b|fp
zimbra.com,https://www.zimbra.com/,tranco,3754,y,3,cta|b2b|fp
themegrill.com,https://themegrill.com/,tranco,3849,y,3,b2b|fp|pricing
powerplatform.com,https://www.microsoft.com/pt-pt/power-platform,tranco,3807,y,3,cta|b2b|pricing
ably.io,https://ably.com/,tranco,3847,y,4,b2b|fp|pricing|login
capitaloneshopping.com,https://capitaloneshopping.com/,tranco,3874,y,3,cta|b2b|login
comodo.com,https://www.comodo.com/,tranco,3814,y,3,cta|b2b|fp
connectad.io,https://connectad.io/,tranco,3920,y,3,cta|b2b|fp
notion.com,https://www.notion.com/,tranco,3902,y,5,cta|b2b|fp|pricing|login
wufoo.com,https://www.wufoo.com/,tranco,3868,y,5,cta|b2b|fp|pricing|login
sproutsocial.com,https://sproutsocial.com/,tranco,3915,y,3,cta|b2b|pricing
sprig.com,https://sprig.com/,tranco,3928,y,4,cta|b2b|fp|pricing
helpshift.com,https://www.helpshift.com/,tranco,3959,y,3,cta|b2b|pricing
readthedocs.org,https://about.readthedocs.com/?ref=app.readthedocs.org,tranco,4026,y,3,cta|b2b|pricing
razorpay.com,https://razorpay.com/,tranco,3884,y,3,b2b|fp|pricing
appboy.com,https://www.braze.com/,tranco,4033,y,3,cta|b2b|pricing
elevenlabs.io,https://elevenlabs.io/,tranco,4036,y,4,cta|b2b|pricing|login
ghost.org,https://ghost.org/,tranco,4064,y,3,b2b|pricing|login
aruba.it,https://www.aruba.it/en/home.aspx,tranco,4090,y,3,cta|b2b|login
medallia.eu,https://www.medallia.com/,tranco,4065,y,3,cta|b2b|pricing
awin1.com,https://www.awin.com/,tranco,4102,y,3,b2b|fp|pricing
growthbook.io,https://www.growthbook.io/,tranco,4141,y,4,cta|b2b|fp|pricing
knowbe4.com,https://www.knowbe4.com/,tranco,4164,y,4,cta|b2b|fp|pricing
livechat.com,https://www.livechat.com/,tranco,4178,y,3,cta|b2b|pricing
consentmanager.net,https://www.consentmanager.net/en/,tranco,4162,y,4,b2b|fp|pricing|login
wandera.com,https://www.jamf.com/,tranco,4208,y,3,b2b|pricing|login
termly.io,https://termly.io/,tranco,4231,y,3,b2b|pricing|login
buffer.com,https://buffer.com/,tranco,4259,y,4,b2b|fp|pricing|login
bitdrift.io,https://bitdrift.io/,tranco,4290,y,3,cta|b2b|pricing
cursor.com,https://cursor.com/,tranco,4282,y,4,cta|b2b|pricing|login
backblazeb2.com,https://www.backblaze.com/cloud-storage,tranco,4267,y,3,b2b|fp|pricing
reverbnation.com,https://www.reverbnation.com/,tranco,4300,y,4,b2b|fp|pricing|login
mailerlite.com,https://www.mailerlite.com/,tranco,4339,y,3,cta|b2b|pricing
siteforce.com,https://www.salesforce.com/eu/?ir=1&bc=DB,tranco,4331,y,4,cta|b2b|pricing|login
sanity.io,https://www.sanity.io/,tranco,4359,y,3,cta|b2b|pricing
kit.com,https://kit.com/,tranco,4362,y,5,cta|b2b|fp|pricing|login
wp.me,https://wordpress.com/,tranco,4349,y,4,cta|b2b|fp|pricing
jivo.ru,https://www.jivo.ru/,tranco,4371,y,3,cta|b2b|pricing
signifyd.com,https://www.signifyd.com/,tranco,4356,y,3,cta|b2b|pricing
easydns.com,https://easydns.com/,tranco,4322,y,3,cta|b2b|pricing
